iter	Passed	Remaining
0	143	143576
1	145	72676
2	148	49199
3	149	37225
4	152	30384
5	155	25809
6	159	22651
7	161	20027
8	163	17987
9	165	16385
10	167	15059
11	169	13995
12	171	13029
13	173	12221
14	175	11510
15	176	10870
16	178	10310
17	179	9814
18	182	9412
19	184	9037
20	186	8671
21	187	8345
22	189	8055
23	191	7782
24	192	7520
25	194	7297
26	196	7075
27	198	6877
28	199	6689
29	202	6541
30	203	6371
31	205	6218
32	207	6072
33	209	5947
34	210	5812
35	212	5700
36	215	5620
37	217	5508
38	219	5398
39	220	5293
40	221	5192
41	225	5142
42	227	5055
43	228	4969
44	230	4885
45	232	4813
46	233	4739
47	234	4660
48	236	4593
49	238	4528
50	239	4455
51	240	4383
52	241	4318
53	243	4262
54	244	4199
55	245	4138
56	246	4079
57	247	4018
58	248	3961
59	249	3904
60	250	3849
61	251	3801
62	252	3749
63	253	3701
64	253	3651
65	254	3604
66	255	3559
67	256	3515
68	257	3472
69	258	3430
70	259	3390
71	259	3350
72	260	3311
73	261	3277
74	262	3242
75	263	3207
76	264	3174
77	265	3141
78	266	3109
79	267	3078
80	268	3047
81	269	3017
82	270	2983
83	270	2953
84	271	2924
85	272	2895
86	273	2871
87	274	2847
88	275	2820
89	276	2795
90	277	2769
91	278	2746
92	279	2721
93	279	2697
94	281	2685
95	283	2665
96	284	2644
97	284	2621
98	285	2599
99	286	2579
100	287	2557
101	288	2537
102	288	2516
103	289	2497
104	290	2478
105	291	2459
106	292	2441
107	293	2422
108	294	2405
109	295	2388
110	296	2370
111	296	2354
112	297	2338
113	298	2323
114	300	2311
115	301	2298
116	302	2283
117	303	2268
118	304	2254
119	305	2240
120	306	2227
121	307	2214
122	308	2201
123	309	2189
124	310	2175
125	311	2163
126	312	2149
127	313	2136
128	314	2124
129	315	2112
130	316	2099
131	317	2087
132	318	2074
133	319	2064
134	320	2053
135	321	2041
136	322	2030
137	323	2019
138	324	2008
139	325	1998
140	326	1988
141	326	1975
142	327	1965
143	328	1954
144	329	1944
145	330	1934
146	331	1924
147	332	1915
148	333	1905
149	334	1895
150	335	1885
151	336	1875
152	337	1865
153	338	1857
154	338	1847
155	339	1838
156	340	1828
157	341	1819
158	342	1810
159	343	1801
160	343	1791
161	344	1782
162	345	1773
163	346	1765
164	347	1757
165	348	1748
166	348	1740
167	349	1732
168	350	1724
169	351	1717
170	352	1709
171	353	1701
172	354	1693
173	355	1685
174	356	1679
175	357	1672
176	358	1665
177	358	1657
178	359	1650
179	360	1643
180	361	1637
181	362	1630
182	363	1624
183	365	1618
184	366	1613
185	367	1607
186	368	1602
187	369	1596
188	370	1591
189	372	1586
190	373	1581
191	375	1579
192	376	1573
193	377	1568
194	378	1563
195	379	1558
196	381	1554
197	382	1548
198	383	1542
199	384	1537
200	385	1531
201	386	1526
202	387	1521
203	388	1514
204	389	1508
205	389	1503
206	390	1497
207	391	1492
208	393	1487
209	394	1482
210	395	1477
211	396	1472
212	397	1467
213	397	1461
214	398	1456
215	399	1451
216	400	1446
217	402	1442
218	402	1436
219	403	1431
220	404	1426
221	405	1421
222	406	1417
223	407	1412
224	408	1407
225	409	1401
226	410	1396
227	411	1392
228	412	1387
229	413	1383
230	413	1378
231	414	1373
232	415	1367
233	416	1363
234	417	1358
235	418	1353
236	419	1349
237	420	1344
238	420	1339
239	421	1335
240	422	1331
241	423	1326
242	424	1322
243	425	1318
244	426	1314
245	427	1310
246	428	1306
247	429	1302
248	431	1299
249	432	1296
250	433	1292
251	434	1289
252	435	1285
253	436	1281
254	437	1277
255	438	1273
256	438	1268
257	439	1264
258	440	1260
259	441	1256
260	442	1251
261	443	1248
262	444	1244
263	445	1240
264	445	1236
265	446	1232
266	447	1229
267	448	1225
268	449	1222
269	450	1219
270	451	1215
271	452	1211
272	453	1208
273	454	1204
274	455	1201
275	456	1197
276	457	1194
277	458	1191
278	459	1187
279	460	1184
280	461	1181
281	462	1178
282	463	1175
283	464	1171
284	465	1167
285	466	1164
286	467	1160
287	468	1157
288	469	1153
289	469	1150
290	470	1147
291	471	1143
292	472	1140
293	473	1136
294	474	1134
295	475	1131
296	476	1128
297	477	1125
298	479	1123
299	479	1119
300	481	1117
301	482	1114
302	483	1111
303	484	1108
304	485	1106
305	486	1102
306	487	1100
307	488	1097
308	489	1094
309	490	1091
310	491	1088
311	492	1085
312	493	1082
313	493	1079
314	494	1076
315	495	1073
316	496	1070
317	497	1066
318	498	1063
